t,z
4.95,39.27
4.96,40.330002
4.97,40.16
4.98,40.5
4.99,40.34
5,39.790001
5.01,39.360001
5.02,40.299999
5.03,40.990002
5.04,41.419998
5.05,41.349998
5.06,41.009998
5.07,39.869999
5.08,39.799999
5.09,39.82
5.1,40.470001
5.11,39.360001
5.12,39.209999
5.13,39.18
5.14,39.75
5.15,40.400002
5.16,40.009998
5.17,39.939999
5.18,39.990002
5.19,39.689999
5.2,39.860001
5.21,39.91
5.22,40.869999
5.23,40.509998
5.24,40.400002
5.25,40
5.26,39.689999
5.27,39.43
5.28,39.060001
5.29,39.419998
5.3,39.639999
5.31,39.540001
5.32,39.970001
5.33,40.419998
5.34,40.240002
5.35,39.599998
5.36,39.830002
5.37,39.75
5.38,39.68
5.39,40.349998
5.4,40.099998
5.41,40.119999
5.42,40.189999
5.43,40.009998
5.44,40.34
5.45,40.939999
5.46,40.790001
5.47,40.290001
5.48,40.32
5.49,41.209999
5.5,41.48
5.51,41.27
5.52,41.110001
5.53,40.860001
5.54,40.580002
5.55,41.23
5.56,41.5
5.57,41.68
5.58,41.650002
5.59,41.509998
5.6,41.68
5.61,41.990002
5.62,41.75
5.63,42.029999
5.64,41.720001
5.65,42.25
5.66,41.700001
5.67,41.869999
5.68,41.900002
5.69,41.799999
5.7,41.990002
5.71,41.779999
5.72,41.669998
5.73,41.689999
5.74,42.09
5.75,42.139999
5.76,42.450001
5.77,44.080002
5.78,44.529999
5.79,44.689999
5.8,44.84
5.81,44.830002
5.82,44.869999
5.83,44.400002
5.84,44.5
5.85,43.970001
5.86,43.889999
5.87,43.580002
5.88,43.16
5.89,42.860001
5.9,43.369999
5.91,43.080002
5.92,42.740002
5.93,43.23
5.94,43.200001
5.95,43.200001
5.96,43.52
5.97,44.080002
5.98,44.27
5.99,44.790001
6,45.110001
6.01,45.330002
6.02,44.950001
6.03,45.220001
6.04,45.150002
6.05,45.169998
6.06,45.009998
6.07,44.869999
6.08,44.880001
6.09,45.43
6.1,45.09
6.11,44.959999
6.12,45.259998
6.13,45.91
6.14,46.470001
6.15,46.759998
6.16,46.84
6.17,47
6.18,46.700001
6.19,46.240002
6.2,46.759998
6.21,46.52
6.22,46.68
6.23,47.52
6.24,47.060001
6.25,46.560001
6.26,47.080002
6.27,46.040001
6.28,46.41
6.29,46.439999
6.3,46.360001
6.31,45.900002
6.32,45.759998
6.33,46.09
6.34,46.09
6.35,45.529999
6.36,46.779999
6.37,45.849998
6.38,44.029999
6.39,43.650002
6.4,43.73
6.41,43.220001
6.42,42.740002
6.43,43.630001
6.44,44.080002
6.45,44.880001
6.46,44.380001
6.47,45.02
6.48,46.130001
6.49,45.91
6.5,46.490002
6.51,46.619999
6.52,46.049999
6.53,46.950001
6.54,47.439999
6.55,47.57
6.56,47.860001
6.57,48.700001
6.58,48.68
6.59,48.889999
6.6,48.869999
6.61,48.779999
6.62,49.610001
6.63,49.580002
6.64,49.459999
6.65,48.740002
6.66,48.220001
6.67,48.700001
6.68,47.98
6.69,47.59
6.7,47.470001
6.71,47.75
6.72,47.810001
6.73,48.619999
6.74,48.459999
6.75,48.080002
6.76,48.84
6.77,48.419998
6.78,47.700001
6.79,47.59
6.8,46.900002
6.81,47.169998
6.82,46.950001
6.83,46.669998
6.84,45.16
6.85,45.740002
6.86,47.52
6.87,47.66
6.88,47.98
6.89,48.450001
6.9,48.139999
6.91,47.880001
6.92,47.450001
6.93,47.02
6.94,46.450001
6.95,46.759998
6.96,46.330002
6.97,45.650002
6.98,46.23
6.99,47.59
7,47.189999
7.01,46.599998
7.02,46.360001
7.03,45.959999
7.04,45.48
7.05,46.240002
7.06,46.389999
7.07,45.919998
7.08,47.130001
7.09,47.18
7.1,47.009998
7.11,42.66
7.12,41.189999
7.13,42.009998
7.14,40.400002
7.15,41.279999
7.16,41.599998
7.17,41.84
7.18,42.450001
7.19,42.41
7.2,42.360001
7.21,42.599998
7.22,42.380001
7.23,43.09
7.24,43.869999
7.25,43.580002
7.26,43.529999
7.27,43.5
7.28,43.860001
7.29,44.150002
7.3,44.09
7.31,43.990002
7.32,44.060001
7.33,43.849998
7.34,43.880001
7.35,43.279999
7.36,43.060001
7.37,43.110001
7.38,42.360001
7.39,42.849998
7.4,42.029999
7.41,41.98
7.42,41.02
7.43,41.380001
7.44,41.560001
7.45,41.700001
7.46,42.5
7.47,42.290001
7.48,42.880001
7.49,42.860001
7.5,42.900002
7.51,41.459999
7.52,41.209999
7.53,40.970001
7.54,40.959999
7.55,40.66
7.56,40.720001
7.57,40.290001
7.58,41.549999
7.59,41.529999
7.6,41.419998
7.61,41.48
7.62,41.720001
7.63,41.759998
7.64,41.650002
7.65,42.259998
7.66,42.16
7.67,41.619999
7.68,42.91
7.69,42.639999
7.7,42.990002
7.71,43.34
7.72,47.869999
7.73,48.029999
7.74,49.16
7.75,49.060001
7.76,48.639999
7.77,48.66
7.78,48.240002
7.79,47.599998
7.8,46.279999
7.81,46.700001
7.82,47.75
7.83,47.369999
7.84,47.349998
7.85,47.630001
7.86,48.720001
7.87,48.299999
7.88,48.009998
7.89,47.580002
7.9,47.580002
7.91,47.419998
7.92,46.900002
7.93,46.59
7.94,47.610001
7.95,47.450001
7.96,46.860001
7.97,47.23
7.98,46.919998
7.99,46.849998
8,46.360001
8.01,46.139999
8.02,45.73
8.03,45.650002
8.04,46.610001
8.05,46.439999
8.06,45.970001
8.07,45.48
8.08,45.830002
8.09,45.970001
8.1,46.720001
8.11,46.099998
8.12,46.23
8.13,45.91
8.14,45.639999
8.15,45.650002
8.16,45.259998
8.17,44.369999
8.18,44.150002
8.19,44.450001
8.2,44.400002
8.21,44.389999
8.22,44.299999
8.23,44.240002
8.24,44.52
8.25,44.610001
8.26,45.540001
8.27,45.619999
8.28,45.759998
8.29,46.66
8.3,46.619999
8.31,46.919998
8.32,47.279999
8.33,45.540001
8.34,46.110001
8.35,45.939999
8.36,45.349998
8.37,45.34
8.38,46.290001
8.39,46.880001
8.4,46.700001
8.41,46.810001
8.42,47.540001
8.43,47.580002
8.44,46.619999
8.45,46.740002
8.46,47.330002
8.47,46.41
8.48,46.740002
8.49,46.73
8.5,47
8.51,47.32
8.52,47.27
8.53,46.610001
8.54,45.66
8.55,43.07
8.56,41.68
8.57,40.470001
8.58,42.709999
8.59,43.900002
8.6,43.93
8.61,43.52
8.62,41.82
8.63,43.360001
8.64,43.5
8.65,42.610001
8.66,43.889999
8.67,43.07
